				
Time	keytime	target	cy	hy
1011.48	44.84911	-3	-70.97058	-69.68695
1011.505	44.85911	-3	-72.15518	-70.87637
1011.533	44.86911	-3	-72.83041	-71.51404
1011.559	44.8791	-3	-73.91483	-73.3187
1011.595	44.90512	-3	-75.38715	-74.69254
1011.639	44.91512	-3	-75.98486	-74.96198
1011.667	44.92511	-3	-76.45175	-75.49725
1011.693	44.93511	-3	-76.91806	-75.93774
1011.731	44.96251	-3	-77.31052	-76.34424
1011.775	44.97251	-3	-77.29565	-76.42484
1011.8	44.98251	-3	-77.32407	-76.51843
1011.835	44.9925	-3	-77.3624	-76.31778
1011.861	45.0025	-3	-77.20728	-76.23358
1014.897	45.0125	1	0.1227445	2.478588
1014.929	45.03498	1	0.01496337	2.413193
1014.962	45.05348	1	-0.1080933	2.235173
1014.999	45.06348	1	-0.2445068	1.972453
1015.029	45.07347	1	-0.3387451	1.861116
1015.07	45.08764	1	-0.4133606	1.79278
1015.1	45.09764	1	-0.4264221	1.700651
1015.128	45.11679	1	-0.2997437	1.694332
1015.164	45.12679	1	-0.3139038	1.678088
1015.199	45.13539	1	-0.3455811	1.725078
1015.229	45.15085	1	-0.3238525	1.813655
1015.266	45.16688	1	-0.2941284	1.86028
1015.299	45.18398	1	-0.3024902	1.753761
1015.334	45.19397	1	-0.2962952	1.76556
1015.36	45.20397	1	-0.3289185	1.727153
1015.395	45.21397	1	-0.2644958	1.80538
1015.432	45.2255	1	0.02307343	2.248237
1015.467	45.2355	1	0.4085635	2.433414
1015.495	45.24549	1	0.9497452	3.161571
1015.53	45.25549	1	1.649062	3.86977
1015.565	45.27835	1	2.650929	4.702759
1015.601	45.28835	1	3.831117	5.9884
1015.63	45.29834	1	5.211345	7.475572
1015.66	45.30834	1	6.452667	8.882309
1015.695	45.31834	1	8.278181	10.54212
1015.735	45.32834	1	10.53852	12.72036
1015.765	45.33834	1	12.29453	14.52774
1015.794	45.34834	1	13.61318	15.81988
1015.834	45.3673	1	16.14147	18.34648
1015.867	45.38383	1	17.32181	19.4551
1015.891	45.39383	1	18.32441	20.38824
1015.929	45.40383	1	19.59241	21.70302
1015.965	45.41383	1	21.07756	23.04218
1015.995	45.42383	1	21.77485	23.8559
1016.033	45.4347	1	22.87619	24.89547
1016.062	45.45011	1	23.86599	25.75478
1016.096	45.46011	1	24.58719	26.48267
1016.127	45.4747	1	25.50216	27.36592
1016.164	45.49046	1	25.96913	27.92433
1016.192	45.50046	1	26.21795	28.24108
1016.23	45.515	1	26.85587	28.82998
1016.282	45.52499	1	27.10559	29.05257
1016.296	45.53499	1	27.15596	29.09227
1016.329	45.55178	1	27.06282	28.98953
1016.364	45.56707	1	26.92121	28.80954
1016.402	45.57707	1	26.63794	28.64347
1019.433	45.58707	2	0.7082982	2.620512
1019.462	45.59707	2	0.6948149	2.633897
1019.496	45.62188	2	0.6647089	2.577137
1019.53	45.63804	2	0.6448674	2.591599
1019.562	45.65625	2	0.6582055	2.581306
1019.599	45.66625	2	0.6600378	2.633593
1019.634	45.67625	2	0.6469072	2.608585
1019.664	45.68625	2	0.636086	2.587988
1019.689	45.69625	2	0.63288	2.579451
1019.736	45.71807	2	0.7046444	2.760937
1019.765	45.74465	2	0.7672031	2.790523
1019.8	45.75465	2	0.8587835	2.829664
1019.833	45.77711	2	1.076552	2.948822
1019.876	45.78711	2	1.259822	3.275652
1019.902	45.79711	2	1.540245	3.516706
1019.929	45.80711	2	2.003685	4.059278
1019.967	45.83337	2	3.718513	5.497009
1020.011	45.84336	2	4.693892	6.641955
1020.036	45.85336	2	5.830995	7.810373
1020.064	45.86336	2	7.169105	9.352425
1020.09	45.87336	2	8.646247	10.97324
1020.144	45.88336	2	12.57311	14.71076
1020.169	45.89336	2	14.33846	16.53101
1020.197	45.90335	2	16.11844	18.14376
1020.239	45.93048	2	20.75412	22.82935
1020.278	45.94048	2	23.14008	24.96532
1020.306	45.95048	2	24.91392	27.17278
1020.33	45.96048	2	26.99462	29.20024
1020.367	45.98687	2	31.73266	34.04432
1020.412	45.99687	2	33.67367	35.98938
1020.44	46.00687	2	35.53149	37.89296
1020.466	46.01687	2	37.69944	40.33646
1020.49	46.02687	2	39.4647	42.24651
1020.546	46.03687	2	43.64191	45.73416
1020.573	46.04686	2	45.05822	47.36054
1020.598	46.05686	2	46.60882	49.25129
1020.636	46.08437	2	48.41335	51.58326
1020.664	46.11011	2	50.45761	52.54681
1020.705	46.12011	2	51.41256	53.57349
1020.733	46.1301	2	52.05865	54.15061
1020.76	46.1401	2	52.48642	54.67312
1020.799	46.16785	2	53.40942	55.46725
1020.839	46.17785	2	53.54461	55.60763
1020.866	46.18785	2	53.5854	55.64206
1020.894	46.19785	2	53.89811	55.62547
1020.933	46.22509	2	53.19029	55.35273
1020.965	46.24168	2	53.27013	55.25465
1020.996	46.25846	2	53.08583	55.16426
1021.042	46.27649	2	53.26041	55.03253
1021.071	46.28648	2	53.28152	55.00841
1021.105	46.29648	2	52.925	54.96592
1024.16	46.30648	-2	0.8330736	2.830857
1024.193	46.31648	-2	0.8424554	2.85191
1024.227	46.33233	-2	0.8154179	2.863438
1024.268	46.34233	-2	0.806186	2.854543
1024.299	46.35233	-2	0.7869074	2.730927
1024.329	46.36233	-2	0.7414926	2.631008
1024.36	46.37233	-2	0.7255559	2.610761
1024.393	46.38232	-2	0.6910601	2.531067
1024.428	46.39232	-2	0.6591116	2.442653
1024.459	46.40597	-2	0.6031042	2.464761
1024.493	46.41597	-2	0.6030364	2.463026
1024.531	46.42597	-2	0.5594316	2.48125
1024.57	46.43597	-2	0.5269646	2.511411
1024.599	46.44596	-2	0.3802197	2.35608
1024.636	46.4595	-2	0.04134987	1.91407
1024.663	46.46949	-2	-0.1634216	1.796831
1024.692	46.47949	-2	-0.7163086	1.006207
1024.729	46.50178	-2	-1.756256	-0.2521362
1024.765	46.51178	-2	-2.946808	-1.402008
1024.795	46.52177	-2	-4.054382	-2.44342
1024.837	46.535	-2	-6.655029	-5.109344
1024.871	46.545	-2	-8.194305	-6.610229
1024.898	46.56168	-2	-10.44263	-8.905518
1024.933	46.57167	-2	-12.95068	-11.26025
1024.963	46.58167	-2	-15.81464	-13.92688
1024.995	46.59167	-2	-18.1991	-16.22958
1025.031	46.60167	-2	-20.92044	-19.36472
1025.06	46.61167	-2	-24.01334	-22.29657
1025.092	46.62167	-2	-27.26529	-25.44711
1025.129	46.63598	-2	-30.9209	-29.38718
1025.163	46.65484	-2	-33.79016	-32.32269
1025.2	46.67489	-2	-36.56836	-35.07983
1025.231	46.68489	-2	-39.52112	-37.73062
1025.26	46.69823	-2	-42.62253	-40.71512
1025.301	46.70823	-2	-44.2515	-42.27805
1025.33	46.71823	-2	-46.27008	-44.47418
1025.365	46.74355	-2	-48.22437	-46.34708
1025.398	46.76106	-2	-49.92395	-48.16394
1025.43	46.77106	-2	-51.35901	-49.63086
1025.459	46.78106	-2	-52.20316	-50.43085
1025.5	46.79106	-2	-52.93311	-51.22153
1025.53	46.80106	-2	-53.23419	-51.4884
1025.559	46.81529	-2	-52.9968	-51.29538
1025.596	46.82529	-2	-52.7114	-50.98749
1025.629	46.83529	-2	-52.08667	-50.38074
1025.666	46.84529	-2	-51.5838	-49.88034
1025.693	46.85529	-2	-50.98071	-49.29391
1028.765	46.86528	1	-0.6949463	1.158952
1028.795	46.87528	1	-0.6986389	1.140245
1028.833	46.88528	1	-0.6771851	1.159104
1028.866	46.89528	1	-0.6465759	1.210638
1028.895	46.90528	1	-0.5946655	1.181279
1028.941	46.91528	1	-0.5604248	1.294786
1028.967	46.92527	1	-0.5399475	1.212026
