Time	keytime	target id	target_lon	target_lat	target_y	target_z	target_x	hmd_rx	hmd_ry	hmd_rz	
106.692	8.278404	3	120	0	0	-0.5000001	-0.8660254	-0.008542722	0.008770204	-0.009643705	
106.699	8.288921	3	120	0	0	-0.5000001	-0.8660254	-0.008458035	0.008652545	-0.009494681	
106.709	8.295228	3	120	0	0	-0.5000001	-0.8660254	-0.008424641	0.008619044	-0.009445726	
106.716	8.305796	3	120	0	0	-0.5000001	-0.8660254	-0.008313868	0.008468732	-0.009261728	
106.725	8.311701	3	120	0	0	-0.5000001	-0.8660254	-0.00826556	0.008392888	-0.009167323	
106.748	8.321321	3	120	0	0	-0.5000001	-0.8660254	-0.008199705	0.00826999	-0.009016247	
106.759	8.345038	3	120	0	0	-0.5000001	-0.8660254	-0.008138475	0.007975437	-0.008664247	
106.771	8.356812	3	120	0	0	-0.5000001	-0.8660254	-0.008157172	0.007833891	-0.008504572	
106.781	8.369561	3	120	0	0	-0.5000001	-0.8660254	-0.008201938	0.007712739	-0.008371485	
106.790	8.376315	3	120	0	0	-0.5000001	-0.8660254	-0.008221585	0.007680956	-0.008337006	
106.796	8.386292	3	120	0	0	-0.5000001	-0.8660254	-0.008259083	0.007641527	-0.008296218	
106.808	8.393263	3	120	0	0	-0.5000001	-0.8660254	-0.008290842	0.007624013	-0.008279667	
106.815	8.40458	3	120	0	0	-0.5000001	-0.8660254	-0.008348903	0.007619157	-0.008280662	
106.825	8.411729	3	120	0	0	-0.5000001	-0.8660254	-0.008375888	0.007627072	-0.008292796	
106.832	8.422043	3	120	0	0	-0.5000001	-0.8660254	-0.008433354	0.007647972	-0.008323316	
106.843	8.428873	3	120	0	0	-0.5000001	-0.8660254	-0.008478701	0.007672328	-0.008356471	
106.849	8.439229	3	120	0	0	-0.5000001	-0.8660254	-0.008545155	0.007710593	-0.008408105	
106.858	8.445283	3	120	0	0	-0.5000001	-0.8660254	-0.00858539	0.007738706	-0.008445112	
106.864	8.454166	3	120	0	0	-0.5000001	-0.8660254	-0.008639974	0.007782024	-0.008501766	
106.875	8.461357	3	120	0	0	-0.5000001	-0.8660254	-0.008699972	0.007830281	-0.008564064	
106.882	8.471377	3	120	0	0	-0.5000001	-0.8660254	-0.008767969	0.007897317	-0.008649553	
106.893	8.479368	3	120	0	0	-0.5000001	-0.8660254	-0.00882219	0.00795215	-0.00871948	
106.905	8.490627	3	120	0	0	-0.5000001	-0.8660254	-0.008893427	0.00803024	-0.008818599	
106.911	8.501009	3	120	0	0	-0.5000001	-0.8660254	-0.008952525	0.008092605	-0.008898241	
106.921	8.507277	3	120	0	0	-0.5000001	-0.8660254	-0.008984079	0.008130356	-0.008946022	
106.929	8.518904	3	120	0	0	-0.5000001	-0.8660254	-0.009047779	0.008187533	-0.009020493	
106.941	8.527121	3	120	0	0	-0.5000001	-0.8660254	-0.009089138	0.008212612	-0.009054889	
106.950	8.539195	3	120	0	0	-0.5000001	-0.8660254	-0.009146888	0.00823695	-0.009090532	
106.961	8.547469	3	120	0	0	-0.5000001	-0.8660254	-0.00918518	0.008244786	-0.009104511	
106.973	8.559199	3	120	0	0	-0.5000001	-0.8660254	-0.009241088	0.008238451	-0.0091042	
106.980	8.569388	3	120	0	0	-0.5000001	-0.8660254	-0.009290164	0.008219258	-0.009088053	
106.990	8.576539	3	120	0	0	-0.5000001	-0.8660254	-0.009335121	0.008198392	-0.009069468	
106.997	8.58665	3	120	0	0	-0.5000001	-0.8660254	-0.009398874	0.00815519	-0.009027316	
107.008	8.593601	3	120	0	0	-0.5000001	-0.8660254	-0.009435292	0.008126407	-0.008998507	
107.014	8.603784	3	120	0	0	-0.5000001	-0.8660254	-0.00950487	0.008076472	-0.00894946	
107.023	8.610164	3	120	0	0	-0.5000001	-0.8660254	-0.009548293	0.008045504	-0.008919107	
107.030	8.619975	3	120	0	0	-0.5000001	-0.8660254	-0.009614519	0.007990682	-0.008864208	
107.041	8.627156	3	120	0	0	-0.5000001	-0.8660254	-0.009662999	0.007949666	-0.008823058	
107.048	8.637328	3	120	0	0	-0.5000001	-0.8660254	-0.009725155	0.007897248	-0.008770611	
107.058	8.644767	3	120	0	0	-0.5000001	-0.8660254	-0.009770537	0.007864823	-0.008739161	
107.065	8.654824	3	120	0	0	-0.5000001	-0.8660254	-0.009830775	0.007818935	-0.008694216	
107.076	8.662569	3	120	0	0	-0.5000001	-0.8660254	-0.009875976	0.007785562	-0.008661784	
107.087	8.673161	3	120	0	0	-0.5000001	-0.8660254	-0.009934474	0.007744929	-0.008622847	
107.094	8.683209	3	120	0	0	-0.5000001	-0.8660254	-0.009995612	0.007705336	-0.00858556	
107.104	8.6902	3	120	0	0	-0.5000001	-0.8660254	-0.01002468	0.007685309	-0.008566453	
107.110	8.700207	3	120	0	0	-0.5000001	-0.8660254	-0.01007046	0.007652963	-0.008535444	
107.120	8.707076	3	120	0	0	-0.5000001	-0.8660254	-0.01010436	0.007623632	-0.0085065	
107.126	8.716416	3	120	0	0	-0.5000001	-0.8660254	-0.0101389	0.0075838	-0.008465522	
107.137	8.724091	3	120	0	0	-0.5000001	-0.8660254	-0.01015421	0.007552963	-0.008432252	
107.143	8.732974	3	120	0	0	-0.5000001	-0.8660254	-0.01016916	0.007499183	-0.008372676	
107.149	8.739297	3	120	0	0	-0.5000001	-0.8660254	-0.01016293	0.007470977	-0.008339515	
107.160	8.745866	3	120	0	0	-0.5000001	-0.8660254	-0.01015298	0.007440448	-0.008303209	
107.170	8.756362	3	120	0	0	-0.5000001	-0.8660254	-0.01012603	0.007395583	-0.008248213	
107.179	8.768864	3	120	0	0	-0.5000001	-0.8660254	-0.01008001	0.007365341	-0.008207359	
107.188	8.775081	3	120	0	0	-0.5000001	-0.8660254	-0.01004836	0.007362626	-0.008199925	
107.196	8.786373	3	120	0	0	-0.5000001	-0.8660254	-0.009982238	0.007368259	-0.008197339	
107.205	8.792348	3	120	0	0	-0.5000001	-0.8660254	-0.009960676	0.007373754	-0.008200447	
107.213	8.802925	3	120	0	0	-0.5000001	-0.8660254	-0.009882895	0.007397238	-0.008216983	
107.222	8.809031	3	120	0	0	-0.5000001	-0.8660254	-0.0098448	0.00741234	-0.008229111	
107.230	8.819882	3	120	0	0	-0.5000001	-0.8660254	-0.009779224	0.007435592	-0.008246915	
107.240	8.826066	3	120	0	0	-0.5000001	-0.8660254	-0.009741525	0.007449152	-0.008257375	
107.247	8.836749	3	120	0	0	-0.5000001	-0.8660254	-0.009670189	0.007471949	-0.008274038	
107.258	8.843074	3	120	0	0	-0.5000001	-0.8660254	-0.009637265	0.007477726	-0.008276318	
107.263	8.853121	3	120	0	0	-0.5000001	-0.8660254	-0.009579705	0.00749335	-0.00828666	
107.273	8.858713	3	120	0	0	-0.5000001	-0.8660254	-0.009543423	0.007501064	-0.008290762	
107.280	8.869601	3	120	0	0	-0.5000001	-0.8660254	-0.009490103	0.00752235	-0.008308215	
107.290	8.875317	3	120	0	0	-0.5000001	-0.8660254	-0.009458996	0.007537569	-0.008321627	
107.296	8.88565	3	120	0	0	-0.5000001	-0.8660254	-0.009404421	0.0075687	-0.008350281	
107.306	8.891923	3	120	0	0	-0.5000001	-0.8660254	-0.009370351	0.007589666	-0.00836996	
107.312	8.902102	3	120	0	0	-0.5000001	-0.8660254	-0.009321823	0.007631226	-0.008411585	
107.322	8.908345	3	120	0	0	-0.5000001	-0.8660254	-0.009284013	0.007665673	-0.008446227	
107.328	8.918207	3	120	0	0	-0.5000001	-0.8660254	-0.009251496	0.007699737	-0.008481761	
107.338	8.924099	3	120	0	0	-0.5000001	-0.8660254	-0.009228529	0.007723853	-0.008506382	
107.345	8.935322	3	120	0	0	-0.5000001	-0.8660254	-0.009193698	0.007768288	-0.008552903	
107.356	8.941616	3	120	0	0	-0.5000001	-0.8660254	-0.009179052	0.007789446	-0.008575449	
107.362	8.951799	3	120	0	0	-0.5000001	-0.8660254	-0.009165009	0.007814518	-0.008602601	
107.371	8.957692	3	120	0	0	-0.5000001	-0.8660254	-0.009159554	0.00783175	-0.008621801	
107.377	8.967404	3	120	0	0	-0.5000001	-0.8660254	-0.009161859	0.007856921	-0.008651149	
107.388	8.973841	3	120	0	0	-0.5000001	-0.8660254	-0.009167781	0.007870561	-0.00866767	
107.394	8.983464	3	120	0	0	-0.5000001	-0.8660254	-0.009187905	0.007884493	-0.008686275	
107.405	8.990822	3	120	0	0	-0.5000001	-0.8660254	-0.009203807	0.007891269	-0.008696109	
