Time	keytime	target	cy	hy	
12.473	6.220824	0	5.192815	23.30502	
12.493	6.240699	0	5.88098	23.30015	
12.515	6.262131	0	6.24111	23.29317	
12.535	6.281502	0	6.899174	23.31274	
12.555	6.302017	0	7.233379	23.29501	
12.576	6.322987	0	7.642688	23.29333	
12.607	6.354558	0	8.194078	23.30035	
12.628	6.375634	0	8.521686	23.30212	
12.648	6.39531	0	8.61276	23.30682	
12.668	6.414713	0	8.433724	23.31091	
12.687	6.434731	0	8.273716	23.30676	
12.707	6.453549	0	7.980365	23.30683	
12.728	6.475081	0	7.431523	23.29577	
12.758	6.504677	0	7.09647	23.29678	
12.778	6.524636	0	6.156896	23.30728	
12.797	6.543955	0	5.473684	23.30561	
12.816	6.562609	0	4.420412	23.31025	
12.837	6.584427	0	3.617966	23.30428	
12.857	6.604795	0	2.672742	23.29853	
12.877	6.623864	0	0.9911606	23.30891	
12.896	6.643306	0	-0.3122253	23.30037	
12.924	6.671631	0	-1.636719	23.29696	
12.945	6.691743	0	-4.967224	23.30647	
12.963	6.709916	0	-6.904175	23.29987	
13.003	6.749205	0	-9.793884	23.30771	
13.023	6.770311	0	-13.87247	23.29216	
13.042	6.789882	0	-17.01556	23.30858	
13.063	6.809784	0	-19.30054	23.29696	
13.092	6.839149	0	-21.39587	23.31293	
13.110	6.857831	0	-25.19385	23.2963	
13.130	6.877554	0	-26.76157	23.2934	
13.152	6.89944	0	-28.60464	23.30401	
13.176	6.923121	0	-29.60117	23.30922	
13.196	6.943136	0	-30.53677	23.3074	
13.215	6.961874	0	-31.16165	23.29739	
13.243	6.99018	0	-31.4281	23.30921	
13.262	7.009377	0	-31.62152	23.30861	
13.281	7.027962	0	-31.63287	23.29449	
13.302	7.048916	0	-31.60736	23.30663	
13.321	7.068659	0	-31.48526	23.30544	
13.342	7.089345	0	-31.25708	23.30771	
13.361	7.108029	0	-31.0166	23.30021	
13.381	7.128265	0	-30.70609	23.31709	
13.410	7.156931	0	-30.09982	23.29549	
13.430	7.177081	0	-29.34467	23.30232	
13.450	7.197004	0	-28.48877	23.31755	
13.470	7.216566	0	-27.92535	23.29933	
13.488	7.235807	0	-27.38495	23.29505	
13.508	7.254846	0	-26.52121	23.29096	
13.528	7.275185	0	-25.98755	23.30466	
13.549	7.296341	0	-25.46249	23.3067	
13.577	7.324183	0	-24.58054	23.29407	
13.601	7.347241	0	-23.63605	23.29747	
13.624	7.371324	0	-22.58423	23.28728	
13.645	7.392229	0	-21.53778	23.28863	
13.665	7.412259	0	-20.81113	23.28513	
13.686	7.433682	0	-19.7009	23.28472	
13.709	7.456947	0	-18.86469	23.27886	
13.738	7.484808	0	-17.48782	23.27847	
13.776	7.523265	0	-16.02863	23.29087	
13.796	7.543077	0	-13.32587	23.27661	
13.816	7.563165	0	-12.2605	23.27571	
13.836	7.582927	0	-10.66666	23.29495	
13.855	7.602515	0	-9.549805	23.27752	
13.874	7.621981	0	-8.421204	23.28944	
13.901	7.64839	0	-6.966583	23.28145	
13.922	7.668363	0	-5.548645	23.28225	
13.940	7.686566	0	-4.822357	23.2842	
13.961	7.707742	0	-3.892792	23.28556	
13.981	7.727643	0	-3.370544	23.28804	
14.000	7.747281	0	-2.55896	23.28501	
14.018	7.765641	0	-2.652252	23.29576	
14.041	7.788124	0	-2.598724	23.28475	
14.068	7.815144	0	-2.897461	23.29423	
14.089	7.835844	0	-3.543823	23.28828	
14.109	7.856634	0	-4.337036	23.28753	
14.129	7.876234	0	-4.754089	23.28252	
14.150	7.896581	0	-5.389771	23.28079	
14.170	7.917389	0	-6.085815	23.29302	
14.187	7.934202	0	-6.480103	23.28069	
14.211	7.958309	0	-6.869934	23.29014	
14.239	7.985995	0	-7.2789	23.27635	
14.258	8.005098	0	-7.41217	23.27093	
14.276	8.023298	0	-7.323334	23.2879	
14.296	8.043683	0	-7.179535	23.2801	
14.318	8.064967	0	-6.869843	23.27775	
14.337	8.084189	0	-6.305084	23.28343	
14.356	8.103547	0	-5.940369	23.2784	
14.375	8.122165	0	-5.341888	23.2686	
14.404	8.152105	0	-4.451416	23.29178	
14.424	8.170962	0	-2.897675	23.28209	
14.442	8.18929	0	-2.057098	23.28328	
14.461	8.208541	0	-1.208557	23.27661	
14.480	8.227361	0	-0.2080994	23.28866	
14.499	8.246288	0	1.312702	23.296	
14.520	8.266912	0	2.376357	23.28411	
14.554	8.301515	0	4.381076	23.27476	
14.579	8.326923	0	5.512698	23.27259	
14.604	8.350562	0	6.530082	23.27569	
14.624	8.371579	0	7.119721	23.28008	
14.643	8.390135	0	7.981685	23.27963	
14.662	8.409481	0	8.034587	23.29171	
14.680	8.427798	0	8.288981	23.28006	
14.705	8.452426	0	8.683603	23.28792	
14.731	8.478287	0	8.796619	23.2871	
14.755	8.502409	0	8.562321	23.2928	
14.774	8.520996	0	8.134521	23.29003	
14.794	8.541264	0	7.530324	23.29125	
14.813	8.560352	0	6.790771	23.28493	
14.835	8.581817	0	6.021259	23.28277	
14.855	8.601829	0	5.461736	23.29005	
14.874	8.62141	0	4.737782	23.29873	
14.900	8.647686	0	4.247001	23.28752	
14.922	8.669063	0	3.209013	23.27525	
14.940	8.686932	0	2.52838	23.28454	
14.960	8.707547	0	1.992609	23.28154	
14.978	8.725665	0	1.323313	23.28767	
14.999	8.746387	0	0.5959126	23.29366	
15.021	8.768559	0	-0.5449829	23.28747	
15.040	8.787572	0	-1.638062	23.28971	
15.067	8.813599	0	-2.524658	23.27872	
15.090	8.837003	0	-4.091187	23.28325	
15.110	8.8568	0	-5.522705	23.28049	
15.129	8.876906	0	-6.335083	23.28096	
15.150	8.897064	0	-7.841675	23.27911	
15.168	8.915607	0	-8.990326	23.27846	
15.185	8.932636	0	-10.14841	23.28529	
15.207	8.954865	0	-11.18069	23.27228	
15.240	8.986897	0	-12.93713	23.28306	
15.261	9.007563	0	-15.25739	23.28674	
15.279	9.026606	0	-16.62875	23.27771	
15.313	9.060309	0	-18.87238	23.27452	
15.335	9.081653	0	-22.15668	23.27876	
15.353	9.100251	0	-23.80392	23.27758	
15.370	9.117482	0	-25.32663	23.28252	
15.395	9.142999	0	-27.06616	23.28119	
15.419	9.166056	0	-30.22198	23.28127	
15.437	9.183455	0	-31.80478	23.27286	
15.455	9.20296	0	-33.20471	23.28483	
15.479	9.225118	0	-35.64371	23.28683	
15.500	9.246686	0	-37.3436	23.27883	
15.521	9.268237	0	-39.62305	23.27377	
