Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_y	target_z	target_x	hmd_rx	hmd_ry	hmd_rz	
29.468	8.864085	25.54827		1	120	0	0	-0.5000001	0.8660254	-0.01014912	0.008166202	-0.009221354	
29.482	8.878618	25.5628		1	120	0	0	-0.5000001	0.8660254	-0.01019431	0.008204597	-0.009272711	
29.497	8.893486	25.57767		1	120	0	0	-0.5000001	0.8660254	-0.01029659	0.008235549	-0.009323765	
29.515	8.911565	25.59575		1	120	0	0	-0.5000001	0.8660254	-0.01045411	0.008258359	-0.009373661	
29.530	8.926414	25.61059		1	120	0	0	-0.5000001	0.8660254	-0.01071889	0.008277711	-0.009436146	
29.543	8.938852	25.62303		1	120	0	0	-0.5000001	0.8660254	-0.01102065	0.008289346	-0.009496409	
29.554	8.950089	25.63427		1	120	0	0	-0.5000001	0.8660254	-0.01127858	0.008294676	-0.009543559	
29.566	8.961515	25.64569		1	120	0	0	-0.5000001	0.8660254	-0.01156525	0.008297147	-0.009593039	
29.579	8.975172	25.65935		1	120	0	0	-0.5000001	0.8660254	-0.01182252	0.008300521	-0.009639823	
29.594	8.990367	25.67455		1	120	0	0	-0.5000001	0.8660254	-0.01220944	0.008309706	-0.009716843	
29.607	9.003207	25.68739		1	120	0	0	-0.5000001	0.8660254	-0.01269815	0.008327394	-0.009824452	
29.617	9.013419	25.6976		1	120	0	0	-0.5000001	0.8660254	-0.01310042	0.008345924	-0.009920384	
29.630	9.026456	25.71064		1	120	0	0	-0.5000001	0.8660254	-0.01346889	0.008359428	-0.01000628	
29.642	9.038183	25.72236		1	120	0	0	-0.5000001	0.8660254	-0.01402395	0.008378574	-0.01013811	
29.655	9.051176	25.73536		1	120	0	0	-0.5000001	0.8660254	-0.01452077	0.00839075	-0.01025415	
29.668	9.064748	25.74893		1	120	0	0	-0.5000001	0.8660254	-0.01502763	0.008397377	-0.01036947	
29.682	9.077777	25.76196		1	120	0	0	-0.5000001	0.8660254	-0.01561406	0.008413185	-0.01051741	
29.692	9.088957	25.77314		1	120	0	0	-0.5000001	0.8660254	-0.01619031	0.00843952	-0.0106808	
29.705	9.100451	25.78463		1	120	0	0	-0.5000001	0.8660254	-0.01658694	0.008468403	-0.01080915	
29.718	9.113463	25.79764		1	120	0	0	-0.5000001	0.8660254	-0.01703722	0.008522175	-0.01098311	
29.728	9.124049	25.80823		1	120	0	0	-0.5000001	0.8660254	-0.01745812	0.008608412	-0.01119218	
29.741	9.136554	25.82073		1	120	0	0	-0.5000001	0.8660254	-0.01784175	0.00872059	-0.01142631	
29.753	9.148573	25.83275		1	120	0	0	-0.5000001	0.8660254	-0.01818975	0.008850385	-0.01167554	
29.765	9.161588	25.84577		1	120	0	0	-0.5000001	0.8660254	-0.01849565	0.00898781	-0.01192561	
29.778	9.173981	25.85816		1	120	0	0	-0.5000001	0.8660254	-0.01874011	0.009132613	-0.01217036	
29.791	9.186919	25.8711		1	120	0	0	-0.5000001	0.8660254	-0.01894149	0.00930388	-0.01243788	
29.804	9.199955	25.88413		1	120	0	0	-0.5000001	0.8660254	-0.01903928	0.00945284	-0.01265039	
29.819	9.214595	25.89878		1	120	0	0	-0.5000001	0.8660254	-0.01907793	0.009627257	-0.01287909	
29.831	9.22744	25.91162		1	120	0	0	-0.5000001	0.8660254	-0.01905462	0.009801316	-0.01309095	
29.842	9.238465	25.92265		1	120	0	0	-0.5000001	0.8660254	-0.01899408	0.009950968	-0.01326249	
29.853	9.248949	25.93313		1	120	0	0	-0.5000001	0.8660254	-0.01890479	0.01009843	-0.01342392	
29.865	9.261159	25.94534		1	120	0	0	-0.5000001	0.8660254	-0.01880085	0.01022665	-0.01355753	
29.877	9.273219	25.9574		1	120	0	0	-0.5000001	0.8660254	-0.01863182	0.01039726	-0.01372773	
29.891	9.286489	25.97067		1	120	0	0	-0.5000001	0.8660254	-0.01839648	0.01058475	-0.01390248	
29.903	9.298767	25.98295		1	120	0	0	-0.5000001	0.8660254	-0.01803222	0.01083128	-0.01412002	
29.916	9.31199	25.99617		1	120	0	0	-0.5000001	0.8660254	-0.01764787	0.01107416	-0.01433107	
29.929	9.324903	26.00908		1	120	0	0	-0.5000001	0.8660254	-0.01712626	0.01139131	-0.01460723	
29.942	9.337919	26.0221		1	120	0	0	-0.5000001	0.8660254	-0.01660521	0.01169285	-0.01486974	
29.953	9.34859	26.03277		1	120	0	0	-0.5000001	0.8660254	-0.0159119	0.01207167	-0.01519938	
29.965	9.361473	26.04565		1	120	0	0	-0.5000001	0.8660254	-0.01536111	0.01235615	-0.01544717	
29.978	9.374099	26.05828		1	120	0	0	-0.5000001	0.8660254	-0.01464453	0.01271451	-0.01576391	
29.994	9.389573	26.07375		1	120	0	0	-0.5000001	0.8660254	-0.01374526	0.01314177	-0.01614697	
30.006	9.402573	26.08675		1	120	0	0	-0.5000001	0.8660254	-0.0127803	0.0135617	-0.01652438	
30.018	9.413922	26.0981		1	120	0	0	-0.5000001	0.8660254	-0.01176869	0.01395913	-0.01688124	
30.031	9.426634	26.11082		1	120	0	0	-0.5000001	0.8660254	-0.010887	0.01427755	-0.01716967	
30.043	9.439292	26.12347		1	120	0	0	-0.5000001	0.8660254	-0.009990707	0.01457282	-0.01743812	
30.057	9.453074	26.13726		1	120	0	0	-0.5000001	0.8660254	-0.009087555	0.01483722	-0.01767672	
30.067	9.46347	26.14765		1	120	0	0	-0.5000001	0.8660254	-0.008022919	0.01510761	-0.01791783	
30.080	9.475754	26.15993		1	120	0	0	-0.5000001	0.8660254	-0.007263018	0.0152796	-0.01807192	
30.092	9.487907	26.17209		1	120	0	0	-0.5000001	0.8660254	-0.006213164	0.01548186	-0.01825006	
30.105	9.501198	26.18538		1	120	0	0	-0.5000001	0.8660254	-0.005334374	0.01561743	-0.01836447	
30.118	9.514196	26.19838		1	120	0	0	-0.5000001	0.8660254	-0.00448236	0.01571294	-0.01843522	
30.130	9.525694	26.20988		1	120	0	0	-0.5000001	0.8660254	-0.003520332	0.01576126	-0.01844226	
30.142	9.538339	26.22252		1	120	0	0	-0.5000001	0.8660254	-0.002854696	0.01575718	-0.01840102	
30.155	9.551575	26.23576		1	120	0	0	-0.5000001	0.8660254	-0.001934705	0.01568723	-0.01826195	
30.167	9.563604	26.24779		1	120	0	0	-0.5000001	0.8660254	-0.001144703	0.01557938	-0.01808424	
30.182	9.577979	26.26216		1	120	0	0	-0.5000001	0.8660254	-0.0003488213	0.01543002	-0.01785718	
30.192	9.588737	26.27292		1	120	0	0	-0.5000001	0.8660254	0.0007333141	0.01517779	-0.01749604	
30.205	9.600841	26.28502		1	120	0	0	-0.5000001	0.8660254	0.001428228	0.01499868	-0.01725111	
30.216	9.612083	26.29627		1	120	0	0	-0.5000001	0.8660254	0.002282886	0.01477846	-0.01696238	
30.228	9.623981	26.30816		1	120	0	0	-0.5000001	0.8660254	0.003149301	0.01454797	-0.0166733	
30.242	9.637822	26.322		1	120	0	0	-0.5000001	0.8660254	0.004024764	0.01432114	-0.01640373	
30.254	9.650674	26.33486		1	120	0	0	-0.5000001	0.8660254	0.005059699	0.01404741	-0.01609516	
